Team,Team_norm,TR_3P_Rate,TR_ORB_Pct,TR_TOV_PerPoss,Pulled_At_UTC
ucsd,ucsd,0.423,0.23800000000000002,0.161,2026-03-25 12:14:48
ul monroe,ul monroe,0.419,0.221,0.165,2026-03-25 12:14:48
umass,umass,0.354,0.314,0.174,2026-03-25 12:14:48
umass lowell,umass lowell,0.313,0.304,0.17600000000000002,2026-03-25 12:14:48
umbc,umbc,0.38799999999999996,0.226,0.138,2026-03-25 12:14:48
unlv,unlv,0.364,0.29100000000000004,0.16699999999999998,2026-03-25 12:14:48
usc,usc,0.341,0.304,0.17,2026-03-25 12:14:48
ut arlington,ut arlington,0.307,0.331,0.20199999999999999,2026-03-25 12:14:48
ut martin,ut martin,0.47100000000000003,0.35700000000000004,0.209,2026-03-25 12:14:48
ut rio grande,ut rio grande,0.43700000000000006,0.26,0.179,2026-03-25 12:14:48
utah,utah,0.375,0.265,0.163,2026-03-25 12:14:48
utah st,utah st,0.408,0.308,0.147,2026-03-25 12:14:48
utah tech,utah tech,0.382,0.265,0.17300000000000001,2026-03-25 12:14:48
utah valley,utah valley,0.32899999999999996,0.326,0.196,2026-03-25 12:14:48
utep,utep,0.40299999999999997,0.245,0.17,2026-03-25 12:14:48
utsa,utsa,0.413,0.272,0.17,2026-03-25 12:14:48
valparaiso,valparaiso,0.368,0.303,0.152,2026-03-25 12:14:48
vanderbilt,vanderbilt,0.442,0.29,0.131,2026-03-25 12:14:48
vcu,vcu,0.43799999999999994,0.306,0.147,2026-03-25 12:14:48
vermont,vermont,0.446,0.243,0.141,2026-03-25 12:14:48
villanova,villanova,0.457,0.3,0.147,2026-03-25 12:14:48
virginia,virginia,0.467,0.368,0.155,2026-03-25 12:14:48
virginia tech,virginia tech,0.397,0.306,0.146,2026-03-25 12:14:48
vmi,vmi,0.536,0.23399999999999999,0.149,2026-03-25 12:14:48
w carolina,w carolina,0.409,0.33299999999999996,0.16399999999999998,2026-03-25 12:14:48
w georgia,w georgia,0.33,0.293,0.154,2026-03-25 12:14:48
w illinois,w illinois,0.33299999999999996,0.244,0.172,2026-03-25 12:14:48
w kentucky,w kentucky,0.39399999999999996,0.295,0.141,2026-03-25 12:14:48
w michigan,w michigan,0.361,0.27699999999999997,0.16399999999999998,2026-03-25 12:14:48
wagner,wagner,0.36200000000000004,0.305,0.18100000000000002,2026-03-25 12:14:48
wake forest,wake forest,0.436,0.282,0.152,2026-03-25 12:14:48
washington,washington,0.34600000000000003,0.331,0.15,2026-03-25 12:14:48
washington st,washington st,0.44799999999999995,0.272,0.18,2026-03-25 12:14:48
weber st,weber st,0.32799999999999996,0.299,0.154,2026-03-25 12:14:48
west virginia,west virginia,0.429,0.295,0.171,2026-03-25 12:14:48
wichita st,wichita st,0.33799999999999997,0.37200000000000005,0.145,2026-03-25 12:14:48
william and mary,william and mary,0.428,0.239,0.162,2026-03-25 12:14:48
winthrop,winthrop,0.441,0.322,0.14300000000000002,2026-03-25 12:14:48
wisconsin,wisconsin,0.521,0.27,0.125,2026-03-25 12:14:48
wofford,wofford,0.431,0.282,0.131,2026-03-25 12:14:48
wright st,wright st,0.342,0.308,0.157,2026-03-25 12:14:48
wyoming,wyoming,0.43,0.326,0.159,2026-03-25 12:14:48
