Team,Conf,NetRtg,ORtg,DRtg,AdjT,Luck,AdjD_Rank
Western Michigan,MAC,-8.81,108.5,117.3,67.6,-0.016,271
Longwood,BSth,-8.96,103.6,112.6,68.3,-0.022,272
Hampton,CAA,-9.03,102.4,111.4,64.9,0.004,273
North Carolina A&T,CAA,-9.27,106.6,115.8,68.4,-0.026,274
Bellarmine,ASun,-9.38,116.6,126.0,64.6,-0.027,275
Northwestern St.,Slnd,-9.46,103.7,113.2,64.9,-0.012,276
Presbyterian,BSth,-9.54,103.3,112.8,63.9,-0.022,277
Mount St. Mary's,MAAC,-9.57,99.9,109.4,67.6,0.039,278
Delaware,CUSA,-9.63,105.8,115.4,62.7,-0.014,279
South Dakota,Sum,-9.71,104.9,114.6,69.9,0.06,280
UTEP,CUSA,-9.71,102.1,111.8,65.0,0.011,281
Morehead St.,OVC,-9.76,107.9,117.7,65.3,0.153,282
Brown,Ivy,-10.02,98.8,108.8,66.3,-0.056,283
Southern,SWAC,-10.11,104.3,114.4,70.2,0.014,284
Eastern Kentucky,ASun,-10.57,109.5,120.1,67.2,-0.019,285
East Texas A&M,Slnd,-10.59,100.4,111.0,68.1,0.004,286
Mercyhurst,NEC,-10.59,102.3,112.8,64.4,-0.028,287
Northeastern,CAA,-11.03,106.5,117.5,69.4,-0.046,288
Le Moyne,NEC,-11.16,102.3,113.4,69.4,-0.011,289
North Dakota,Sum,-11.25,107.6,118.9,67.3,0.111,290
Southeastern Louisiana,Slnd,-11.28,99.5,110.8,65.1,-0.021,291
Grambling St.,SWAC,-11.35,98.1,109.4,67.5,-0.049,292
Sacred Heart,MAAC,-11.43,107.4,118.8,68.5,-0.01,293
Jacksonville,ASun,-11.59,103.0,114.6,63.1,-0.018,294
Lehigh,PL,-11.6,103.3,114.9,66.7,0.071,295
USC Upstate,BSth,-11.64,99.7,111.3,67.7,0.04,296
Texas Southern,SWAC,-11.85,103.5,115.3,68.8,-0.017,297
Chattanooga,SC,-11.86,105.0,116.8,67.1,-0.018,298
Central Connecticut,NEC,-12.21,105.5,117.7,65.1,0.126,299
Houston Christian,Slnd,-12.33,103.8,116.1,63.8,0.061,300
Georgia St.,SB,-12.37,99.6,112.0,67.5,-0.035,301
Ball St.,MAC,-12.54,98.3,110.9,63.4,-0.023,302
Alabama A&M,SWAC,-12.56,104.0,116.6,65.2,0.067,303
UNC Greensboro,SC,-12.58,108.0,120.6,67.7,0.053,304
Little Rock,OVC,-12.65,104.0,116.7,66.3,-0.026,305
West Georgia,ASun,-12.87,102.7,115.6,68.9,0.073,306
Loyola Chicago,A10,-12.88,103.0,115.8,66.2,0.055,307
Alabama St.,SWAC,-12.96,101.7,114.6,69.3,-0.048,308
Tennessee Tech,OVC,-13.17,102.9,116.0,66.7,-0.028,309
Evansville,MVC,-13.22,102.3,115.5,66.8,-0.008,310
Louisiana,SB,-13.41,100.1,113.5,62.6,0.028,311
IU Indy,Horz,-13.55,106.0,119.5,72.8,-0.031,312
Norfolk St.,MEAC,-13.65,101.6,115.2,67.6,0.013,313
Florida A&M,SWAC,-13.72,98.2,111.9,68.0,0.066,314
Oral Roberts,Sum,-13.74,101.9,115.6,67.5,-0.042,315
Wagner,NEC,-13.74,103.2,117.0,65.5,0.002,316
Stetson,ASun,-13.76,104.8,118.5,66.8,0.014,317
Prairie View A&M,SWAC,-13.92,101.2,115.1,72.2,-0.019,318
Northern Arizona,BSky,-14.23,105.8,120.1,63.7,0.04,319
Cleveland St.,Horz,-14.41,110.2,124.6,69.3,0.029,320
Albany,AE,-14.45,104.0,118.5,65.2,-0.077,321
Loyola MD,PL,-14.66,104.0,118.6,68.2,-0.026,322
UMass Lowell,AE,-14.82,102.8,117.7,69.1,-0.007,323
Arkansas Pine Bluff,SWAC,-14.95,103.3,118.3,68.7,0.075,324
Lafayette,PL,-15.02,100.8,115.8,66.6,0.018,325
Cal St. Bakersfield,BW,-15.25,102.2,117.4,69.7,0.022,326
NJIT,AE,-15.45,98.5,114.0,67.6,0.113,327
Eastern Illinois,OVC,-15.6,96.0,111.6,65.6,0.037,328
New Haven,NEC,-16.11,96.4,112.5,63.2,0.041,329
Manhattan,MAAC,-16.2,105.6,121.8,67.8,0.059,330
Northern Illinois,MAC,-16.4,97.6,114.0,67.2,0.011,331
Holy Cross,PL,-17.1,100.9,118.0,65.3,-0.011,332
Fairleigh Dickinson,NEC,-17.46,101.4,118.9,63.7,-0.001,333
North Florida,ASun,-17.48,107.0,124.5,70.1,-0.024,334
Bucknell,PL,-17.64,98.4,116.1,66.8,0.017,335
Army,PL,-18.19,101.4,119.6,67.0,0.049,336
UTSA,Amer,-18.25,100.4,118.7,68.3,0.002,337
Stonehill,NEC,-18.35,91.9,110.3,66.1,-0.006,338
Niagara,MAAC,-18.5,99.9,118.4,61.9,-0.038,339
Southern Indiana,OVC,-18.53,95.9,114.4,67.4,-0.105,340
North Alabama,ASun,-18.99,100.2,119.2,64.8,0.06,341
Maryland Eastern Shore,MEAC,-19.04,95.4,114.5,62.8,-0.023,342
Alcorn St.,SWAC,-19.1,99.1,118.2,67.0,0.022,343
Canisius,MAAC,-19.12,95.5,114.6,64.1,0.019,344
Jackson St.,SWAC,-19.23,100.0,119.2,69.5,0.072,345
Air Force,MWC,-19.58,96.8,116.3,66.0,-0.004,346
Maine,AE,-19.82,92.9,112.8,64.7,-0.02,347
Chicago St.,NEC,-20.11,98.6,118.7,65.4,-0.024,348
North Carolina Central,MEAC,-20.49,100.5,121.0,65.8,0.045,349
New Hampshire,AE,-20.6,94.8,115.4,67.5,-0.019,350
The Citadel,SC,-21.04,99.0,120.1,64.2,0.02,351
Louisiana Monroe,SB,-21.16,101.3,122.5,70.2,-0.096,352
Morgan St.,MEAC,-21.25,100.4,121.7,70.6,0.09,353
Saint Francis,NEC,-22.45,99.7,122.2,69.9,-0.025,354
Bryant,AE,-22.5,96.7,119.2,64.3,0.018,355
Kansas City,Sum,-24.14,92.7,116.8,69.7,-0.021,356
Rider,MAAC,-24.36,95.9,120.2,65.7,-0.024,357
South Carolina St.,MEAC,-25.33,95.2,120.6,68.2,0.001,358
Binghamton,AE,-25.41,97.9,123.3,65.2,-0.019,359
VMI,SC,-25.93,99.5,125.4,66.6,-0.011,360
Gardner Webb,BSth,-27.2,96.2,123.4,69.4,-0.024,361
Delaware St.,MEAC,-27.55,88.4,115.9,66.2,-0.036,362
Coppin St.,MEAC,-27.6,92.7,120.3,68.0,0.05,363
Western Illinois,OVC,-28.55,93.1,121.6,66.5,-0.052,364
Mississippi Valley St.,SWAC,-31.48,89.7,121.2,67.1,-0.015,365
